Calu3_DE	Lung_DE	COVID19_up
PLXNA2	SEMA4C	TK1
APOBEC3F	CD82	CD82
C3	CTR9	CHD7
HADH	INPP5A	IFNGR2
IFNGR2	ITPKB	IL1R2
LSS	MICAL1	RRBP1
FSCN1	GNLY	FRAT1
GPD1L	IL1R2	GLIS2
DUSP8	ENG	EGFL7
NAPA	PES1	SLC9A8
DUSP5	EGFL7	DYSF
PPP1CB	TNS1	TOR4A
CCDC69	DLL4	CTSA
ACSS1	AHNAK	ALDH4A1
NAV2	PLXNA2	SPSB1
MYH10	NDUFA11	SLC6A9
ISG20	KANK2	IRF2BPL
OAT	PPP6R2	TEX2
AHNAK	ASCL2	ANPEP
CAPS	DKK3	CREBBP
MEFV	NAPA	SIX5
PRKCSH	TRAK1	TSPAN9
BCAR3	COL4A1	CHAC1
FZD4	HCK	GAS6
F3	FZD4	EMP1
CHAC1	DOCK6	DEPP1
COL16A1	DTX4	DLL4
LHPP	MAT2A	MYH10
ATF4	CDK9	CDC42EP3
ALDH4A1	BCL2L1	APOBEC3A
LASP1	KLHDC3	JCAD
FOSL2	GAS6	FAM111B
AMOTL2	CD164	CABLES1
ADRB2	APOBEC3A	ALOX15B
TMBIM6	IL1R2	CEBPD
TPPP3	LILRB2	CLIC4
RCAN1	SRGN	CRISPLD2
SPSB1	CCM2	GALNT2
TMOD3	INPP5A	IL1R2
TNS1	SERPINB6	JCAD
PSAP	TBRG4	LILRB4
RCSD1	ZDHHC7	MMP2
RELB	-	OSCAR
TMED2	-	SERPINB1
RAB29	-	SVIL
SLC25A37	-	UGCG
TMEM164	-	-
ARRB1	-	-
RCAN1	-	-
LILRB4	-	-
SERPINB1	-	-
KLF10	-	-
UGCG	-	-
IGFBP6	-	-
SIGMAR1	-	-
SQLE	-	-
