"Location" "sample" "value"
1 "Bat" 0
2 "Bat" 0
3 "Bat" 0
4 "Bat" 0
5 "Bat" 0
6 "Bat" 0
7 "Bat" 0
8 "Bat" 0
9 "Bat" 0
10 "Bat" 0
11 "Bat" 0
12 "Bat" 0
13 "Bat" 0
14 "Bat" 0
15 "Bat" 0
16 "Bat" 0
17 "Bat" 0
18 "Bat" 0.482
19 "Bat" 0.963
20 "Bat" 0.963
21 "Bat" 0.963
22 "Bat" 0.963
23 "Bat" 0.963
24 "Bat" 0.963
25 "Bat" 1.445
26 "Bat" 1.445
27 "Bat" 0.963
28 "Bat" 0.963
29 "Bat" 0.963
30 "Bat" 0.963
31 "Bat" 0.963
32 "Bat" 0.963
33 "Bat" 0
34 "Bat" 0
35 "Bat" 0
36 "Bat" 0
37 "Bat" 0
38 "Bat" 0
39 "Bat" 0
40 "Bat" 0
41 "Bat" 0
42 "Bat" 0
43 "Bat" 0
44 "Bat" 0
45 "Bat" 0
46 "Bat" 0
47 "Bat" 0
48 "Bat" 0
49 "Bat" 0
50 "Bat" 0
51 "Bat" 0
52 "Bat" 0
53 "Bat" 0
54 "Bat" 0
55 "Bat" 0
56 "Bat" 0
57 "Bat" 0
58 "Bat" 0
59 "Bat" 0
60 "Bat" 0
61 "Bat" 0
62 "Bat" 0
63 "Bat" 0
64 "Bat" 0
65 "Bat" 0
66 "Bat" 0
67 "Bat" 0
68 "Bat" 0
69 "Bat" 0
70 "Bat" 0
71 "Bat" 0
72 "Bat" 0
73 "Bat" 0
74 "Bat" 0
75 "Bat" 0
76 "Bat" 0
77 "Bat" 0
78 "Bat" 0.482
79 "Bat" 0.482
80 "Bat" 0.482
81 "Bat" 1.445
82 "Bat" 1.445
83 "Bat" 1.445
84 "Bat" 1.445
85 "Bat" 1.445
86 "Bat" 1.445
87 "Bat" 1.927
88 "Bat" 1.927
89 "Bat" 1.445
90 "Bat" 1.445
91 "Bat" 1.445
92 "Bat" 1.445
93 "Bat" 1.445
94 "Bat" 1.445
95 "Bat" 0.482
96 "Bat" 0.482
97 "Bat" 0
98 "Bat" 0
99 "Bat" 0
100 "Bat" 0
101 "Bat" 0
102 "Bat" 0
103 "Bat" 0
104 "Bat" 0
105 "Bat" 0
106 "Bat" 0
107 "Bat" 0
108 "Bat" 0
109 "Bat" 0
110 "Bat" 0
111 "Bat" 0
112 "Bat" 0
113 "Bat" 0
114 "Bat" 0
115 "Bat" 0
116 "Bat" 0
117 "Bat" 0
118 "Bat" 0
119 "Bat" 0
120 "Bat" 0
121 "Bat" 0
122 "Bat" 0
123 "Bat" 0.482
124 "Bat" 0.482
125 "Bat" 0.482
126 "Bat" 0.482
127 "Bat" 0.482
128 "Bat" 0.482
129 "Bat" 0.482
130 "Bat" 0.482
131 "Bat" 0.482
132 "Bat" 0.482
133 "Bat" 3.372
134 "Bat" 3.372
135 "Bat" 3.372
136 "Bat" 3.372
137 "Bat" 3.372
138 "Bat" 3.372
139 "Bat" 3.372
140 "Bat" 2.89
141 "Bat" 1.445
142 "Bat" 0
143 "Bat" 0
144 "Bat" 0
145 "Bat" 0
146 "Bat" 0
147 "Bat" 0
148 "Bat" 0
149 "Bat" 0
150 "Bat" 0
151 "Bat" 0
152 "Bat" 0
153 "Bat" 0
154 "Bat" 0
155 "Bat" 0
156 "Bat" 0
157 "Bat" 0
158 "Bat" 0
159 "Bat" 0
160 "Bat" 0
161 "Bat" 0
162 "Bat" 0
163 "Bat" 0
164 "Bat" 0
165 "Bat" 0
