"center";"Bat"
10014;0.482
10015;0.482
10016;0.482
10017;0.482
10018;0.482
10019;0.482
10020;0.482
10021;0.482
10023;0.482
10024;0.482
10025;0.482
10026;0.482
10027;0.482
10028;0.482
10029;0.482
10030;0.482
10031;0.963
10032;0.482
10033;0.482
10034;0.482
10035;0.482
10036;0.482
10037;0.482
10038;0.482
10039;0.482
10040;0.482
10041;0.482
10042;0.963
10043;0.963
10044;1.445
10045;1.927
10046;1.927
10047;1.927
10048;1.927
10049;1.927
10050;2.89
10051;1.927
10052;1.445
10053;0.963
10054;0.963
10055;0.963
10056;0.963
10057;1.445
10058;1.445
10059;0.963
10060;0.963
10061;0.963
10062;0.963
10063;0.963
10064;0.963
10065;0.963
10066;0.963
10067;1.445
10068;1.927
10069;1.927
10070;1.927
10071;1.927
10072;1.927
10073;1.445
10074;0.963
10075;0.482
10102;0.482
1021;0.482
10103;0.482
10104;0.482
10105;0.482
10106;0.482
10107;0.482
10108;0.482
10109;0.482
10110;0.482
1022;0.482
1023;0.482
1024;0.482
1025;0.482
10149;0.482
10150;0.482
10151;0.482
10152;0.482
1026;0.482
10153;0.482
10154;0.482
10155;0.482
10156;0.482
10157;0.482
10158;0.482
1027;0.482
1028;0.482
10192;0.482
10193;0.482
10194;0.482
10195;0.482
10196;0.482
10197;0.482
10198;0.482
10199;0.482
10213;0.482
10214;0.482
10215;0.963
10216;1.927
10217;1.927
10218;1.927
10219;1.927
10220;1.927
10221;1.445
10222;1.445
10223;1.445
10238;0.482
10239;0.482
10240;0.482
10241;0.482
10242;0.963
10243;0.963
10244;0.963
10245;1.445
10246;0.963
10247;0.482
10248;0.482
10249;0.482
10250;0.482
10251;0.482
10252;0.482
10281;0.482
10282;0.482
10283;0.482
10284;0.482
10285;0.482
10286;0.482
10287;0.482
10288;0.482
1044;0.482
1045;0.482
1046;0.482
22;0.963
1047;0.482
1048;0.482
10381;0.482
10382;0.482
1049;0.482
10383;0.482
10384;0.482
10385;0.963
10386;0.963
10387;0.963
10388;0.963
10389;0.963
10390;0.963
10391;0.963
10392;1.445
1050;0.963
10393;1.927
10394;1.445
10395;1.445
10396;1.445
10397;0.963
10398;0.963
10399;0.963
10400;0.482
10401;0.482
1051;0.963
10408;0.963
10409;0.963
10410;0.963
10411;0.963
10412;0.963
1052;0.482
10413;0.963
10414;0.963
10415;0.963
1053;0.482
10430;0.482
10431;0.482
10432;0.482
1054;0.482
10433;0.482
10434;0.963
10435;0.963
10436;0.963
10437;0.963
10438;0.482
10439;0.482
10440;0.482
10441;0.482
1055;0.482
1056;0.482
1057;0.482
1058;0.482
1059;0.482
10497;0.482
10498;0.482
10499;0.482
10500;0.482
10501;0.482
10502;0.482
10503;0.482
10504;0.482
10506;0.482
10507;0.482
10508;0.482
10509;0.482
10510;0.482
10511;0.482
10512;0.482
10513;0.482
10523;0.482
10524;0.482
10525;0.482
10526;0.482
10527;0.482
10528;0.482
10529;0.482
10530;0.482
10537;0.482
10538;0.482
10539;0.482
10540;0.482
10541;0.482
10542;0.482
10543;0.482
10544;0.482
10545;0.482
10546;0.482
10547;0.482
10549;0.482
10550;0.482
10551;0.482
10552;0.482
10553;0.482
10554;0.482
10555;0.482
10556;0.482
10557;0.482
10562;0.482
10563;0.963
10564;0.963
10565;0.963
10566;0.963
10567;1.445
10568;1.445
10569;2.409
10570;1.927
10571;1.445
10572;1.445
10573;1.445
10574;1.445
10575;0.963
10576;0.963
10577;0.482
10578;0.482
10579;0.482
10580;0.482
10581;0.482
10582;0.482
10583;0.482
10584;0.482
10614;0.482
10615;0.482
10616;0.482
10617;0.482
10618;0.482
10619;0.482
10620;0.482
10621;0.482
10622;0.482
10628;0.963
10629;0.963
10630;0.963
10631;0.963
10632;0.963
10633;0.963
10634;0.963
10635;0.963
10656;0.482
10657;0.963
10658;0.963
10659;0.963
10660;1.445
10661;1.445
10662;1.445
1077;0.482
10663;1.445
10664;0.963
10665;0.482
10666;0.482
10667;0.482
1078;0.482
1079;0.482
10689;0.482
10690;0.482
10691;0.482
10692;0.482
1080;0.963
10693;0.963
10694;0.963
10695;0.963
10696;1.445
10697;1.445
10698;0.963
10699;0.963
10700;0.963
10701;0.482
10702;0.482
1081;0.963
10703;0.482
1082;0.963
1083;0.963
10729;0.482
10730;0.482
10731;0.482
10732;0.482
1084;1.445
10733;0.482
10734;0.482
10735;0.482
10736;0.482
10737;0.482
1085;1.445
1086;2.409
1087;2.89
10763;0.482
10764;0.482
10765;0.963
10766;0.963
10767;1.445
10768;1.445
10769;1.445
10770;1.445
10771;0.963
10772;0.963
1088;2.89
10773;0.482
10774;0.482
10775;0.482
10782;0.482
1089;2.89
10783;0.482
10784;0.482
10785;0.482
10786;0.482
10787;0.482
10788;0.482
10789;0.482
1090;2.89
10797;0.482
10798;0.482
10799;0.963
10800;0.963
10801;0.963
10802;0.482
1091;3.372
10803;0.482
10804;0.482
10805;0.482
10806;0.482
10808;0.482
10809;0.482
10810;0.482
10811;0.482
10812;1.445
1092;2.89
10813;1.927
10814;1.927
10815;2.89
10816;2.89
10817;2.89
10818;2.89
10819;2.89
10820;1.927
10821;1.927
10822;1.445
1093;2.409
10823;0.482
1094;1.445
1095;0.963
10847;0.482
10848;0.482
10849;0.482
10850;0.482
10851;0.482
10852;0.482
10853;0.482
1096;0.482
10854;1.445
10855;0.963
10856;1.445
10857;2.409
10858;2.409
10859;2.409
10860;2.89
10861;2.89
10862;2.409
10863;1.927
1097;0.482
10864;2.409
10865;1.927
10866;1.445
10867;1.445
10868;1.445
10869;1.445
10870;2.409
10871;1.927
10872;1.927
10873;1.445
1098;0.482
10874;1.445
10875;1.445
10876;1.445
10877;0.963
10896;0.482
10897;0.482
10898;0.482
10899;0.482
10900;0.482
10901;0.482
10902;0.482
10903;0.482
10964;0.482
10965;0.482
10966;0.482
10967;0.482
10968;0.482
10969;0.482
10970;0.482
10971;1.445
10972;1.445
10973;0.963
10974;0.963
10975;0.963
10976;1.445
10977;1.445
10978;1.445
10979;1.445
10980;1.927
10981;2.409
10982;2.409
10983;1.927
10984;1.445
10985;1.445
10986;1.927
10987;1.927
10988;0.963
10989;0.963
10990;0.482
10991;0.482
10992;0.963
10993;0.963
10994;0.963
10995;0.482
10996;0.482
10997;0.482
10998;0.482
10999;0.482
11005;0.482
11006;0.482
11007;0.482
11008;0.482
11009;0.482
11010;0.482
11011;0.482
11012;0.482
1113;0.482
11027;0.482
11028;0.482
11029;0.963
11030;0.963
11031;0.963
11032;1.445
11033;1.445
1114;0.482
11034;1.445
11035;0.963
11036;0.963
11037;1.927
11038;1.927
11039;1.927
11040;1.927
11041;1.927
11042;1.927
11043;1.927
1115;0.482
11044;1.927
11045;1.445
11046;0.482
11047;0.482
1116;0.482
1117;0.482
11068;0.482
11069;0.482
11070;2.89
11071;3.372
11072;3.854
11073;6.263
1118;0.482
11074;6.263
11075;6.263
11076;6.263
11077;7.226
11078;4.817
11079;5.299
11080;4.336
11081;3.372
11082;4.336
11083;4.336
1119;0.482
11084;4.336
11085;3.372
11086;3.372
11087;3.372
11088;3.372
11089;2.89
11090;0.963
11091;1.445
11092;1.445
11093;1.445
1120;0.482
11094;2.409
11095;2.409
11096;2.89
11097;2.89
11098;2.89
11099;2.409
11100;2.409
11101;2.409
11102;1.445
11103;0.963
11106;0.482
11107;0.482
11108;0.963
11109;0.963
11110;0.963
11111;0.963
11112;0.963
11113;0.963
11114;0.482
11115;0.963
11116;0.963
11117;0.482
11118;0.482
11119;0.482
11120;0.482
11121;0.482
11122;0.482
11124;0.482
11125;0.482
123;0.482
11126;0.482
11127;0.482
11128;0.482
11129;0.482
11130;0.482
11131;0.482
11132;0.482
11135;0.482
11136;0.482
11137;0.482
11138;0.963
11139;0.963
11140;0.963
11141;1.445
11142;1.445
11143;1.927
11144;1.927
11145;1.927
11146;1.927
11147;1.445
11148;1.445
11149;0.963
11150;0.963
11157;1.445
