start	end	Type	Name	Reference
7460	7477	HIS_svRNA	HIS-SARS2-1	Li et al. 2022
3052	3062	miRNA	svRNA-nsp3.1	Morales et al. 2017
3184	3205	miRNA	svRNA-nsp3.2	Morales et al. 2018
3079	3090	svRNA_TFO	svRNA_nsp3	This study
23222	23233	svRNA_TFO	svRNA_TFO_S.1	This study
23825	23837	svRNA_TFO	svRNA_TFO_S.2	This study
26168	26179	svRNA_TFO	svRNA_TFO_E	This study
28461	28481	miRNA	svRNA-N	Morales et al. 2019
29236	29248	svRNA_TFO	svRNA_TFO_N	This study
29717	29740	HIS_svRNA	HIS-SARS2-4	Li et al. 2022
