"Location";"sample";"value"
1;"Bat_avg";0
2;"Bat_avg";0
3;"Bat_avg";0
4;"Bat_avg";0
5;"Bat_avg";0.0321333333333333
6;"Bat_avg";0.06025
7;"Bat_avg";0.0850588235294118
8;"Bat_avg";0.107111111111111
9;"Bat_avg";0.126842105263158
10;"Bat_avg";0.1446
11;"Bat_avg";0.1687
12;"Bat_avg";0.1928
13;"Bat_avg";0.2169
14;"Bat_avg";0.2169
15;"Bat_avg";0.2169
16;"Bat_avg";0.2169
17;"Bat_avg";0.241
18;"Bat_avg";0.2651
19;"Bat_avg";0.31325
20;"Bat_avg";0.3614
21;"Bat_avg";0.40955
22;"Bat_avg";0.4577
23;"Bat_avg";0.50585
24;"Bat_avg";0.554
25;"Bat_avg";0.554
26;"Bat_avg";0.554
27;"Bat_avg";0.5299
28;"Bat_avg";0.5058
29;"Bat_avg";0.4817
30;"Bat_avg";0.4576
31;"Bat_avg";0.4335
32;"Bat_avg";0.4094
33;"Bat_avg";0.3853
34;"Bat_avg";0.3853
35;"Bat_avg";0.3853
36;"Bat_avg";0.3853
37;"Bat_avg";0.3612
38;"Bat_avg";0.3371
39;"Bat_avg";0.28895
40;"Bat_avg";0.2408
41;"Bat_avg";0.19265
42;"Bat_avg";0.1445
43;"Bat_avg";0.09635
44;"Bat_avg";0.0482
45;"Bat_avg";0.0241
46;"Bat_avg";0
47;"Bat_avg";0
48;"Bat_avg";0
49;"Bat_avg";0
50;"Bat_avg";0
51;"Bat_avg";0
52;"Bat_avg";0
53;"Bat_avg";0
54;"Bat_avg";0
55;"Bat_avg";0
56;"Bat_avg";0
57;"Bat_avg";0
58;"Bat_avg";0
59;"Bat_avg";0
60;"Bat_avg";0
61;"Bat_avg";0
62;"Bat_avg";0
63;"Bat_avg";0
64;"Bat_avg";0
65;"Bat_avg";0.04815
66;"Bat_avg";0.0963
67;"Bat_avg";0.14445
68;"Bat_avg";0.1926
69;"Bat_avg";0.26485
70;"Bat_avg";0.3371
71;"Bat_avg";0.40935
72;"Bat_avg";0.4816
73;"Bat_avg";0.5057
74;"Bat_avg";0.5298
75;"Bat_avg";0.5539
76;"Bat_avg";0.578
77;"Bat_avg";0.578
78;"Bat_avg";0.578
79;"Bat_avg";0.578
80;"Bat_avg";0.578
81;"Bat_avg";0.578
82;"Bat_avg";0.578
83;"Bat_avg";0.578
84;"Bat_avg";0.578
85;"Bat_avg";0.52985
86;"Bat_avg";0.4817
87;"Bat_avg";0.43355
88;"Bat_avg";0.3854
89;"Bat_avg";0.31315
90;"Bat_avg";0.2409
91;"Bat_avg";0.16865
92;"Bat_avg";0.0964
93;"Bat_avg";0.0723
94;"Bat_avg";0.0482
95;"Bat_avg";0.0241
96;"Bat_avg";0
97;"Bat_avg";0
98;"Bat_avg";0
99;"Bat_avg";0
100;"Bat_avg";0
101;"Bat_avg";0
102;"Bat_avg";0
103;"Bat_avg";0
104;"Bat_avg";0
105;"Bat_avg";0
106;"Bat_avg";0
107;"Bat_avg";0
108;"Bat_avg";0
109;"Bat_avg";0
110;"Bat_avg";0
111;"Bat_avg";0
112;"Bat_avg";0
113;"Bat_avg";0
114;"Bat_avg";0
115;"Bat_avg";0
116;"Bat_avg";0
117;"Bat_avg";0
118;"Bat_avg";0.09635
119;"Bat_avg";0.1927
120;"Bat_avg";0.28905
121;"Bat_avg";0.3854
122;"Bat_avg";0.48175
123;"Bat_avg";0.5781
124;"Bat_avg";0.69855
125;"Bat_avg";0.819
126;"Bat_avg";0.8431
127;"Bat_avg";0.8672
128;"Bat_avg";0.8913
129;"Bat_avg";0.9154
130;"Bat_avg";0.9395
131;"Bat_avg";0.9636
132;"Bat_avg";0.9636
133;"Bat_avg";0.9636
134;"Bat_avg";0.9636
135;"Bat_avg";0.9636
136;"Bat_avg";0.9636
137;"Bat_avg";0.9636
138;"Bat_avg";0.86725
139;"Bat_avg";0.7709
140;"Bat_avg";0.67455
141;"Bat_avg";0.5782
142;"Bat_avg";0.48185
143;"Bat_avg";0.3855
144;"Bat_avg";0.26505
145;"Bat_avg";0.1446
146;"Bat_avg";0.1205
147;"Bat_avg";0.0964
148;"Bat_avg";0.0723
149;"Bat_avg";0.0482
150;"Bat_avg";0.0241
151;"Bat_avg";0
152;"Bat_avg";0
153;"Bat_avg";0
154;"Bat_avg";0
155;"Bat_avg";0
156;"Bat_avg";0
157;"Bat_avg";0
158;"Bat_avg";0
159;"Bat_avg";0
160;"Bat_avg";0
161;"Bat_avg";0
162;"Bat_avg";0
163;"Bat_avg";0
164;"Bat_avg";0
165;"Bat_avg";0
166;"Bat_avg";0
167;"Bat_avg";0
168;"Bat_avg";0
169;"Bat_avg";0.04815
170;"Bat_avg";0.0963
171;"Bat_avg";0.14445
172;"Bat_avg";0.1926
173;"Bat_avg";0.24075
174;"Bat_avg";0.2889
175;"Bat_avg";0.33705
176;"Bat_avg";0.3852
177;"Bat_avg";0.3852
178;"Bat_avg";0.3852
179;"Bat_avg";0.3852
180;"Bat_avg";0.3852
181;"Bat_avg";0.3852
182;"Bat_avg";0.3852
183;"Bat_avg";0.3852
184;"Bat_avg";0.3852
185;"Bat_avg";0.3852
186;"Bat_avg";0.3852
187;"Bat_avg";0.3852
188;"Bat_avg";0.3852
189;"Bat_avg";0.33705
190;"Bat_avg";0.2889
191;"Bat_avg";0.24075
192;"Bat_avg";0.1926
193;"Bat_avg";0.14445
194;"Bat_avg";0.0963
195;"Bat_avg";0.04815
196;"Bat_avg";0
197;"Bat_avg";0
198;"Bat_avg";0
199;"Bat_avg";0
200;"Bat_avg";0
201;"Bat_avg";0
202;"Bat_avg";0
203;"Bat_avg";0
204;"Bat_avg";0
205;"Bat_avg";0
206;"Bat_avg";0
207;"Bat_avg";0
208;"Bat_avg";0
209;"Bat_avg";0
210;"Bat_avg";0
211;"Bat_avg";0
212;"Bat_avg";0
213;"Bat_avg";0
214;"Bat_avg";0
215;"Bat_avg";0
216;"Bat_avg";0
217;"Bat_avg";0
218;"Bat_avg";0
219;"Bat_avg";0
220;"Bat_avg";0
221;"Bat_avg";0
222;"Bat_avg";0
223;"Bat_avg";0
224;"Bat_avg";0
225;"Bat_avg";0
226;"Bat_avg";0
227;"Bat_avg";0
228;"Bat_avg";0
229;"Bat_avg";0
230;"Bat_avg";0
231;"Bat_avg";0
232;"Bat_avg";0
233;"Bat_avg";0
234;"Bat_avg";0
235;"Bat_avg";0
236;"Bat_avg";0
237;"Bat_avg";0
238;"Bat_avg";0
239;"Bat_avg";0
