Location	Bat	Rdog	Pang	Human
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0.837871806	0	0.303214069
14	0	0.837871806	0	0.303214069
15	0	0.837871806	0	0
16	0	0.837871806	0	0
17	0	0.837871806	0	0
18	0.481695568	1.675743611	0.352112676	0.303214069
19	0.963391137	1.256807708	0.352112676	0.909642207
20	0.963391137	1.256807708	0.352112676	1.212856277
21	0.963391137	1.256807708	0.352112676	1.212856277
22	0.963391137	0.837871806	0.352112676	1.212856277
23	0.963391137	0.837871806	0.352112676	1.516070346
24	0.963391137	0.837871806	0.352112676	1.516070346
25	1.445086705	0.837871806	0.352112676	1.516070346
26	1.445086705	0	0.352112676	1.516070346
27	0.963391137	0	0.352112676	0.606428138
28	0.963391137	0.418935903	1.056338028	0.303214069
29	0.963391137	0.418935903	1.056338028	0.606428138
30	0.963391137	0.418935903	1.056338028	0.909642207
31	0.963391137	0.418935903	1.056338028	0.606428138
32	0.963391137	0.418935903	1.056338028	0.606428138
33	0	0.418935903	1.056338028	0.606428138
34	0	0.418935903	0.704225352	0.606428138
35	0	0.418935903	0.704225352	0.606428138
36	0	0.418935903	0.352112676	0.606428138
37	0	0	0	0.303214069
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0.303214069
56	0	0	0	0.303214069
57	0	0	0	0.303214069
58	0	0	0	0.303214069
59	0	0	0	0.303214069
60	0	0	0	0.303214069
61	0	0	0	0.303214069
62	0	0	0.352112676	0.303214069
63	0	0	0.352112676	0
64	0	0	0.352112676	0
65	0	0	0.352112676	0
66	0	0	0.352112676	0
67	0	0	0.352112676	0
